item_id,purchase_count,price,stocks,sales,stock_value,profit_status,date,predicted_sales,predicted_profit
8624,48,128.0,79,6144.0,10112.0,1,2025-10-27,3585.24,profit
8623,31,34.0,90,1054.0,3060.0,1,2025-02-21,3587.32,profit
8622,42,36.0,75,1512.0,2700.0,1,2025-03-15,3586.27,profit
8621,4,119.0,18,476.0,2142.0,1,2025-01-24,3586.73,profit
8620,14,23.0,41,322.0,943.0,1,2025-01-16,3586.86,profit
8619,24,60.0,93,1440.0,5580.0,1,2025-03-12,3586.3,profit
8618,50,25.0,46,1250.0,1150.0,1,2025-03-02,3586.8,profit
8617,26,65.0,54,1690.0,3510.0,1,2025-03-24,3586.11,profit
8616,34,56.0,41,1904.0,2296.0,1,2025-04-03,3585.86,profit
8615,26,31.0,37,806.0,1147.0,1,2025-02-09,3585.36,profit
8614,40,139.0,31,5560.0,4309.0,1,2025-09-28,3585.89,profit
8613,5,139.0,46,695.0,6394.0,1,2025-02-03,3585.88,profit
8612,8,71.0,23,568.0,1633.0,1,2025-01-28,3586.66,profit
8611,44,129.0,70,5676.0,9030.0,1,2025-10-04,3585.13,profit
8610,37,125.0,49,4625.0,6125.0,1,2025-08-14,3585.77,profit
8609,13,33.0,72,429.0,2376.0,1,2025-01-21,3586.57,profit
8608,10,57.0,75,570.0,4275.0,1,2025-01-28,3586.61,profit
8607,4,52.0,25,208.0,1300.0,1,2025-01-11,3585.4,profit
8606,40,77.0,62,3080.0,4774.0,1,2025-05-30,3586.12,profit
8605,20,94.0,23,1880.0,2162.0,1,2025-04-02,3586.59,profit
8604,10,130.0,66,1300.0,8580.0,1,2025-03-05,3585.94,profit
8603,7,99.0,80,693.0,7920.0,1,2025-02-03,3586.96,profit
8602,32,45.0,11,1440.0,495.0,1,2025-03-12,3587.07,profit
8601,13,136.0,99,1768.0,13464.0,1,2025-03-28,3585.4,profit
8600,8,38.0,15,304.0,570.0,1,2025-01-15,3584.87,profit
8599,32,39.0,73,1248.0,2847.0,1,2025-03-02,3586.04,profit
8598,31,88.0,73,2728.0,6424.0,1,2025-05-13,3586.22,profit
8597,6,148.0,80,888.0,11840.0,1,2025-02-13,3585.3,profit
8596,26,81.0,78,2106.0,6318.0,1,2025-04-13,3586.93,profit
8595,22,120.0,76,2640.0,9120.0,1,2025-05-09,3584.79,profit
8594,35,130.0,59,4550.0,7670.0,1,2025-08-10,3585.86,profit
8593,41,75.0,84,3075.0,6300.0,1,2025-05-30,3585.15,profit
8592,14,23.0,25,322.0,575.0,1,2025-01-16,3586.58,profit
8591,41,18.0,23,738.0,414.0,1,2025-02-05,3585.1,profit
8590,23,148.0,60,3404.0,8880.0,1,2025-06-15,3585.87,profit
8589,22,43.0,79,946.0,3397.0,1,2025-02-16,3587.64,profit
8588,0,108.0,95,0.0,10260.0,0,2025-01-01,3585.95,profit
8587,15,26.0,10,390.0,260.0,1,2025-01-19,3587.1,profit
8586,23,53.0,63,1219.0,3339.0,1,2025-03-01,3586.04,profit
