item_id,purchase_count,price,stocks,sales,stock_value,profit_status,date,predicted_sales,predicted_profit
item_0075,0,28.0,11,0.0,308.0,0,2025-01-01,3585.9,profit
item_0070,0,81.0,81,0.0,6561.0,0,2025-01-01,3586.31,profit
item_0142,0,60.0,49,0.0,2940.0,0,2025-01-01,3584.88,profit
item_0154,0,37.0,99,0.0,3663.0,0,2025-01-01,3586.31,profit
item_0095,0,83.0,45,0.0,3735.0,0,2025-01-01,3586.78,profit
item_0104,0,42.0,58,0.0,2436.0,0,2025-01-01,3584.94,profit
item_0132,0,38.0,89,0.0,3382.0,0,2025-01-01,3584.88,profit
item_0054,0,113.0,13,0.0,1469.0,0,2025-01-01,3586.32,profit
item_0098,0,31.0,77,0.0,2387.0,0,2025-01-01,3585.58,profit
item_0110,0,80.0,20,0.0,1600.0,0,2025-01-01,3584.83,profit
item_0072,0,22.0,36,0.0,792.0,0,2025-01-01,3584.95,profit
item_0135,0,124.0,38,0.0,4712.0,0,2025-01-01,3585.22,profit
item_0160,0,23.0,57,0.0,1311.0,0,2025-01-01,3584.75,profit
item_0139,0,130.0,21,0.0,2730.0,0,2025-01-01,3585.21,profit
item_0105,0,88.0,10,0.0,880.0,0,2025-01-01,3585.79,profit
item_0146,0,94.0,56,0.0,5264.0,0,2025-01-01,3584.81,profit
item_0137,0,119.0,98,0.0,11662.0,0,2025-01-01,3586.65,profit
item_0131,0,127.0,100,0.0,12700.0,0,2025-01-01,3586.29,profit
item_0128,0,59.0,22,0.0,1298.0,0,2025-01-01,3584.95,profit
item_0100,0,107.0,51,0.0,5457.0,0,2025-01-01,3586.6,profit
item_0079,0,35.0,16,0.0,560.0,0,2025-01-01,3586.0,profit
item_0165,0,89.0,70,0.0,6230.0,0,2025-01-01,3586.75,profit
item_0140,0,45.0,65,0.0,2925.0,0,2025-01-01,3584.81,profit
item_0047,0,46.0,62,0.0,2852.0,0,2025-01-01,3585.05,profit
item_0114,0,36.0,33,0.0,1188.0,0,2025-01-01,3586.26,profit
item_0058,0,106.0,32,0.0,3392.0,0,2025-01-01,3584.49,profit
item_0057,0,148.0,58,0.0,8584.0,0,2025-01-01,3584.97,profit
item_0157,0,148.0,83,0.0,12284.0,0,2025-01-01,3585.51,profit
item_0096,0,111.0,72,0.0,7992.0,0,2025-01-01,3585.8,profit
item_0069,0,30.0,52,0.0,1560.0,0,2025-01-01,3585.29,profit
item_0115,0,54.0,37,0.0,1998.0,0,2025-01-01,3586.32,profit
item_0033,0,75.0,91,0.0,6825.0,0,2025-01-01,3585.47,profit
item_0059,0,134.0,67,0.0,8978.0,0,2025-01-01,3585.24,profit
item_0108,0,99.0,73,0.0,7227.0,0,2025-01-01,3585.4,profit
item_0109,0,135.0,57,0.0,7695.0,0,2025-01-01,3585.42,profit
item_0078,0,80.0,11,0.0,880.0,0,2025-01-01,3586.5,profit
item_0119,0,126.0,23,0.0,2898.0,0,2025-01-01,3585.09,profit
item_0144,0,84.0,29,0.0,2436.0,0,2025-01-01,3585.71,profit
item_0145,0,145.0,52,0.0,7540.0,0,2025-01-01,3585.56,profit
item_0111,0,39.0,75,0.0,2925.0,0,2025-01-01,3585.59,profit
item_0094,0,30.0,98,0.0,2940.0,0,2025-01-01,3586.29,profit
item_0089,0,52.0,57,0.0,2964.0,0,2025-01-01,3586.93,profit
item_0093,0,44.0,44,0.0,1936.0,0,2025-01-01,3585.73,profit
item_0097,0,101.0,13,0.0,1313.0,0,2025-01-01,3585.38,profit
item_0087,0,24.0,31,0.0,744.0,0,2025-01-01,3587.09,profit
item_0101,0,109.0,60,0.0,6540.0,0,2025-01-01,3585.63,profit
item_0083,0,19.0,22,0.0,418.0,0,2025-01-01,3586.39,profit
item_0074,0,70.0,81,0.0,5670.0,0,2025-01-01,3585.8,profit
item_0050,0,74.0,54,0.0,3996.0,0,2025-01-01,3585.11,profit
item_0121,0,133.0,59,0.0,7847.0,0,2025-01-01,3586.1,profit
item_0086,0,22.0,82,0.0,1804.0,0,2025-01-01,3586.04,profit
item_0085,0,94.0,25,0.0,2350.0,0,2025-01-01,3586.5,profit
item_0039,0,137.0,28,0.0,3836.0,0,2025-01-01,3584.92,profit
item_0084,0,58.0,42,0.0,2436.0,0,2025-01-01,3586.74,profit
item_0155,0,137.0,13,0.0,1781.0,0,2025-01-01,3586.73,profit
item_0082,0,36.0,22,0.0,792.0,0,2025-01-01,3585.72,profit
item_0077,0,23.0,27,0.0,621.0,0,2025-01-01,3585.87,profit
item_0080,0,104.0,37,0.0,3848.0,0,2025-01-01,3586.68,profit
item_0064,1,19.0,56,19.0,1064.0,1,2025-01-01,3584.39,profit
item_0040,0,126.0,11,0.0,1386.0,0,2025-01-01,3585.19,profit
item_0169,0,126.0,91,0.0,11466.0,0,2025-01-01,3584.89,profit
item_0073,0,76.0,70,0.0,5320.0,0,2025-01-01,3586.2,profit
item_0032,0,90.0,97,0.0,8730.0,0,2025-01-01,3586.6,profit
item_0051,0,117.0,61,0.0,7137.0,0,2025-01-01,3585.97,profit
item_0042,0,62.0,58,0.0,3596.0,0,2025-01-01,3585.98,profit
item_0052,0,54.0,87,0.0,4698.0,0,2025-01-01,3585.29,profit
item_0156,0,108.0,66,0.0,7128.0,0,2025-01-01,3585.26,profit
item_0043,0,37.0,24,0.0,888.0,0,2025-01-01,3586.26,profit
item_0129,0,131.0,29,0.0,3799.0,0,2025-01-01,3586.05,profit
item_0147,0,35.0,56,0.0,1960.0,0,2025-01-01,3585.47,profit
item_0118,0,143.0,67,0.0,9581.0,0,2025-01-01,3586.64,profit
item_0149,0,96.0,37,0.0,3552.0,0,2025-01-01,3585.29,profit
item_0125,0,44.0,42,0.0,1848.0,0,2025-01-01,3585.63,profit
item_0164,0,15.0,42,0.0,630.0,0,2025-01-01,3585.8,profit
item_0167,0,52.0,91,0.0,4732.0,0,2025-01-01,3586.51,profit
item_0152,0,143.0,25,0.0,3575.0,0,2025-01-01,3585.85,profit
item_0053,0,41.0,80,0.0,3280.0,0,2025-01-01,3586.17,profit
item_0106,0,84.0,83,0.0,6972.0,0,2025-01-01,3585.44,profit
item_0116,0,144.0,13,0.0,1872.0,0,2025-01-01,3586.3,profit
item_0138,0,92.0,83,0.0,7636.0,0,2025-01-01,3584.93,profit
item_0061,0,103.0,71,0.0,7313.0,0,2025-01-01,3586.39,profit
item_0136,0,26.0,89,0.0,2314.0,0,2025-01-01,3585.21,profit
item_0113,1,20.0,29,20.0,580.0,1,2025-01-01,3585.07,profit
item_0062,0,112.0,96,0.0,10752.0,0,2025-01-01,3585.23,profit
item_0091,0,82.0,96,0.0,7872.0,0,2025-01-01,3585.03,profit
item_0103,0,108.0,95,0.0,10260.0,0,2025-01-01,3585.95,profit
item_0037,0,35.0,53,0.0,1855.0,0,2025-01-01,3585.53,profit
item_0163,0,97.0,87,0.0,8439.0,0,2025-01-01,3586.73,profit
item_0107,0,92.0,11,0.0,1012.0,0,2025-01-01,3585.49,profit
item_0036,0,98.0,48,0.0,4704.0,0,2025-01-01,3584.98,profit
item_0081,0,103.0,80,0.0,8240.0,0,2025-01-01,3585.95,profit
item_0158,0,33.0,16,0.0,528.0,0,2025-01-01,3584.58,profit
item_0153,0,46.0,14,0.0,644.0,0,2025-01-01,3585.05,profit
item_0134,0,108.0,29,0.0,3132.0,0,2025-01-01,3585.5,profit
item_0141,0,130.0,60,0.0,7800.0,0,2025-01-01,3586.17,profit
item_0063,0,147.0,54,0.0,7938.0,0,2025-01-01,3584.93,profit
item_0117,0,38.0,34,0.0,1292.0,0,2025-01-01,3585.34,profit
item_0130,0,59.0,72,0.0,4248.0,0,2025-01-01,3585.37,profit
item_0120,0,62.0,23,0.0,1426.0,0,2025-01-01,3585.35,profit
item_0162,1,19.0,18,19.0,342.0,1,2025-01-01,3586.36,profit
item_0060,0,36.0,91,0.0,3276.0,0,2025-01-01,3584.88,profit
item_0035,0,132.0,33,0.0,4356.0,0,2025-01-01,3585.26,profit
item_0088,0,21.0,45,0.0,945.0,0,2025-01-01,3586.71,profit
item_0090,0,134.0,93,0.0,12462.0,0,2025-01-01,3586.55,profit
item_0122,0,45.0,31,0.0,1395.0,0,2025-01-01,3585.1,profit
item_0124,0,98.0,94,0.0,9212.0,0,2025-01-01,3586.02,profit
item_0148,0,103.0,74,0.0,7622.0,0,2025-01-01,3586.32,profit
item_0038,0,149.0,50,0.0,7450.0,0,2025-01-01,3586.47,profit
item_0143,0,69.0,71,0.0,4899.0,0,2025-01-01,3585.7,profit
item_0123,0,72.0,16,0.0,1152.0,0,2025-01-01,3586.23,profit
item_0046,0,145.0,69,0.0,10005.0,0,2025-01-01,3586.28,profit
item_0112,0,109.0,98,0.0,10682.0,0,2025-01-01,3586.28,profit
item_0151,0,68.0,48,0.0,3264.0,0,2025-01-01,3585.32,profit
item_0056,0,120.0,95,0.0,11400.0,0,2025-01-01,3585.08,profit
item_0044,0,58.0,66,0.0,3828.0,0,2025-01-01,3586.45,profit
item_0055,0,136.0,62,0.0,8432.0,0,2025-01-01,3585.39,profit
item_0031,0,38.0,96,0.0,3648.0,0,2025-01-01,3585.08,profit
item_0166,0,37.0,52,0.0,1924.0,0,2025-01-01,3585.83,profit
item_0127,0,144.0,24,0.0,3456.0,0,2025-01-01,3584.8,profit
item_0034,0,96.0,63,0.0,6048.0,0,2025-01-01,3585.59,profit
item_0092,0,65.0,19,0.0,1235.0,0,2025-01-01,3585.62,profit
item_0168,0,148.0,37,0.0,5476.0,0,2025-01-01,3586.35,profit
item_0159,0,138.0,94,0.0,12972.0,0,2025-01-01,3586.13,profit
item_0066,0,150.0,26,0.0,3900.0,0,2025-01-01,3585.75,profit
item_0099,0,20.0,23,0.0,460.0,0,2025-01-01,3586.7,profit
item_0065,0,68.0,27,0.0,1836.0,0,2025-01-01,3586.3,profit
item_0045,0,54.0,22,0.0,1188.0,0,2025-01-01,3586.37,profit
item_0068,0,105.0,68,0.0,7140.0,0,2025-01-01,3586.08,profit
item_0071,0,115.0,96,0.0,11040.0,0,2025-01-01,3585.7,profit
item_0170,0,122.0,90,0.0,10980.0,0,2025-01-01,3584.93,profit
item_0150,0,109.0,59,0.0,6431.0,0,2025-01-01,3585.43,profit
item_0041,0,86.0,48,0.0,4128.0,0,2025-01-01,3585.48,profit
item_0067,0,63.0,63,0.0,3969.0,0,2025-01-01,3584.97,profit
item_0048,0,51.0,88,0.0,4488.0,0,2025-01-01,3586.32,profit
item_0133,0,77.0,74,0.0,5698.0,0,2025-01-01,3586.2,profit
item_0161,0,23.0,13,0.0,299.0,0,2025-01-01,3586.45,profit
item_0076,0,83.0,91,0.0,7553.0,0,2025-01-01,3586.31,profit
item_0049,0,138.0,27,0.0,3726.0,0,2025-01-01,3586.3,profit
item_0102,0,64.0,89,0.0,5696.0,0,2025-01-01,3585.37,profit
item_0126,0,140.0,69,0.0,9660.0,0,2025-01-01,3586.2,profit
item_0190,1,32.0,28,32.0,896.0,1,2025-01-02,3586.86,profit
item_0177,1,30.0,21,30.0,630.0,1,2025-01-02,3587.03,profit
item_0183,1,27.0,99,27.0,2673.0,1,2025-01-02,3586.82,profit
item_0195,1,37.0,82,37.0,3034.0,1,2025-01-02,3586.98,profit
