item_id,purchase_count,price,stocks,sales,stock_value,profit_status
item_0001,34,88.0,98,2992.0,8624.0,profit
item_0002,37,116.0,55,4292.0,6380.0,profit
item_0003,49,103.0,46,5047.0,4738.0,profit
item_0004,21,59.0,86,1239.0,5074.0,profit
item_0005,49,97.0,76,4753.0,7372.0,profit
item_0006,21,65.0,53,1365.0,3445.0,profit
item_0007,19,70.0,82,1330.0,5740.0,profit
item_0008,48,29.0,85,1392.0,2465.0,profit
item_0009,0,26.0,89,0.0,2314.0,loss
item_0010,24,84.0,87,2016.0,7308.0,profit
item_0011,35,21.0,56,735.0,1176.0,profit
item_0012,17,108.0,97,1836.0,10476.0,profit
item_0013,9,135.0,34,1215.0,4590.0,profit
item_0014,28,66.0,94,1848.0,6204.0,profit
item_0015,17,95.0,48,1615.0,4560.0,profit
item_0016,36,77.0,98,2772.0,7546.0,profit
item_0017,14,34.0,89,476.0,3026.0,profit
item_0018,5,113.0,75,565.0,8475.0,profit
item_0019,42,39.0,28,1638.0,1092.0,profit
item_0020,18,132.0,87,2376.0,11484.0,profit
item_0021,26,147.0,16,3822.0,2352.0,profit
item_0022,8,127.0,34,1016.0,4318.0,profit
item_0023,6,49.0,92,294.0,4508.0,profit
item_0024,24,54.0,29,1296.0,1566.0,profit
item_0025,3,86.0,26,258.0,2236.0,profit
item_0026,46,69.0,71,3174.0,4899.0,profit
item_0027,14,113.0,37,1582.0,4181.0,profit
item_0028,7,54.0,91,378.0,4914.0,profit
item_0029,43,100.0,27,4300.0,2700.0,profit
item_0030,44,119.0,67,5236.0,7973.0,profit
item_0031,34,123.0,29,4182.0,3567.0,profit
item_0032,27,24.0,34,648.0,816.0,profit
item_0033,34,81.0,65,2754.0,5265.0,profit
item_0034,11,101.0,73,1111.0,7373.0,profit
item_0035,16,123.0,50,1968.0,6150.0,profit
item_0036,24,101.0,66,2424.0,6666.0,profit
item_0037,26,60.0,32,1560.0,1920.0,profit
item_0038,39,124.0,68,4836.0,8432.0,profit
item_0039,15,48.0,38,720.0,1824.0,profit
item_0040,39,17.0,11,663.0,187.0,profit
item_0041,32,62.0,90,1984.0,5580.0,profit
item_0042,24,103.0,24,2472.0,2472.0,profit
item_0043,36,95.0,30,3420.0,2850.0,profit
item_0044,27,24.0,15,648.0,360.0,profit
item_0045,50,89.0,62,4450.0,5518.0,profit
item_0046,32,120.0,41,3840.0,4920.0,profit
item_0047,26,88.0,31,2288.0,2728.0,profit
item_0048,16,146.0,44,2336.0,6424.0,profit
item_0049,42,54.0,43,2268.0,2322.0,profit
item_0050,39,19.0,72,741.0,1368.0,profit
item_0051,33,77.0,91,2541.0,7007.0,profit
item_0052,20,61.0,68,1220.0,4148.0,profit
item_0053,50,70.0,52,3500.0,3640.0,profit
item_0054,25,65.0,30,1625.0,1950.0,profit
item_0055,35,106.0,29,3710.0,3074.0,profit
item_0056,8,63.0,56,504.0,3528.0,profit
item_0057,3,63.0,35,189.0,2205.0,profit
item_0058,35,75.0,24,2625.0,1800.0,profit
item_0059,12,82.0,73,984.0,5986.0,profit
item_0060,25,50.0,44,1250.0,2200.0,profit
item_0061,20,95.0,19,1900.0,1805.0,profit
item_0062,35,57.0,85,1995.0,4845.0,profit
item_0063,2,49.0,66,98.0,3234.0,profit
item_0064,29,29.0,38,841.0,1102.0,profit
item_0065,4,112.0,51,448.0,5712.0,profit
item_0066,27,142.0,93,3834.0,13206.0,profit
item_0067,29,94.0,78,2726.0,7332.0,profit
item_0068,4,63.0,33,252.0,2079.0,profit
item_0069,27,82.0,89,2214.0,7298.0,profit
item_0070,1,111.0,26,111.0,2886.0,profit
item_0071,35,17.0,72,595.0,1224.0,profit
item_0072,18,130.0,25,2340.0,3250.0,profit
item_0073,10,106.0,82,1060.0,8692.0,profit
item_0074,8,29.0,16,232.0,464.0,profit
item_0075,31,98.0,23,3038.0,2254.0,profit
item_0076,21,24.0,98,504.0,2352.0,profit
item_0077,0,126.0,91,0.0,11466.0,loss
item_0078,25,64.0,11,1600.0,704.0,profit
item_0079,0,52.0,91,0.0,4732.0,loss
item_0080,44,105.0,41,4620.0,4305.0,profit
item_0081,28,140.0,23,3920.0,3220.0,profit
item_0082,36,119.0,11,4284.0,1309.0,profit
item_0083,0,15.0,42,0.0,630.0,loss
item_0084,2,88.0,50,176.0,4400.0,profit
item_0085,35,111.0,31,3885.0,3441.0,profit
item_0086,30,117.0,12,3510.0,1404.0,profit
item_0087,48,131.0,49,6288.0,6419.0,profit
item_0088,40,93.0,72,3720.0,6696.0,profit
item_0089,26,82.0,87,2132.0,7134.0,profit
item_0090,50,101.0,94,5050.0,9494.0,profit
item_0091,18,53.0,55,954.0,2915.0,profit
item_0092,30,97.0,26,2910.0,2522.0,profit
item_0093,44,31.0,74,1364.0,2294.0,profit
item_0094,18,27.0,82,486.0,2214.0,profit
item_0095,30,89.0,93,2670.0,8277.0,profit
item_0096,27,149.0,48,4023.0,7152.0,profit
item_0097,28,82.0,54,2296.0,4428.0,profit
item_0098,22,64.0,21,1408.0,1344.0,profit
item_0099,35,136.0,91,4760.0,12376.0,profit
item_0100,17,120.0,42,2040.0,5040.0,profit
